iter	Logloss
0	0.6339589233
1	0.587800293
2	0.5524539795
3	0.52371521
4	0.5005922852
5	0.4793177795
6	0.4647263184
7	0.4505276794
8	0.43942099
9	0.4312815247
10	0.422929657
11	0.4161392212
12	0.4102757874
13	0.4061369934
14	0.4022348938
15	0.3986165161
16	0.3949859009
17	0.391111084
18	0.3878669128
19	0.3856955566
20	0.3826205444
21	0.3808033447
22	0.3788422852
23	0.3773032227
24	0.3754893188
25	0.3738872681
26	0.3725041199
27	0.3712526855
28	0.3701484375
29	0.3691250916
30	0.3681066895
31	0.367086731
32	0.366179718
33	0.3655489197
34	0.3635518188
35	0.3625202637
36	0.3620698242
37	0.361305481
38	0.3596598511
39	0.3588571167
40	0.3582860107
41	0.3576262207
42	0.3563600464
43	0.3552354126
44	0.3548371582
45	0.3546430664
46	0.3536438293
47	0.3532635498
48	0.3527102661
49	0.3518823242
50	0.3513212585
51	0.3506560669
52	0.3498203735
53	0.3494849243
54	0.3490053406
55	0.3480284119
56	0.3475516357
57	0.3472124023
58	0.3468586426
59	0.3465075073
60	0.3463076477
61	0.346108429
62	0.345888916
63	0.3455765991
64	0.3453718262
65	0.3451605225
66	0.3448083496
67	0.3446777649
68	0.3445480957
69	0.3440227661
70	0.343862854
71	0.343040863
72	0.3428009033
73	0.3426319275
74	0.3423476868
75	0.3422425842
76	0.342135376
77	0.34193927
78	0.3416710205
79	0.3413587036
80	0.3411976929
81	0.3410181274
82	0.3404262085
83	0.3402290649
84	0.3400874634
85	0.3399089355
86	0.3398140259
87	0.3397102051
88	0.3395740967
89	0.3394827271
90	0.3388452148
91	0.3382941589
92	0.3381744995
93	0.3378565979
94	0.3376758118
95	0.3374246826
96	0.3372080994
97	0.3366578674
98	0.3365567017
99	0.3364720764
100	0.3363504333
101	0.3361661377
102	0.3360303345
103	0.3359458313
104	0.3358276062
105	0.3356804199
106	0.3354682617
107	0.3353523254
108	0.3352654419
109	0.3351460571
110	0.3350110168
111	0.3348253174
112	0.3347440186
113	0.334677063
114	0.3345227051
115	0.3340371704
116	0.3338381958
117	0.3337049561
118	0.3336362915
119	0.333450592
120	0.3333467407
121	0.3332521973
122	0.33307901
123	0.3329400024
124	0.3328342896
125	0.3327607117
126	0.332631073
127	0.3324180298
128	0.332333374
129	0.3321743774
130	0.3320477295
131	0.3319613037
132	0.3318313599
133	0.3316866455
134	0.3315955505
135	0.3315108032
136	0.3313937378
137	0.3313190002
138	0.3312418213
139	0.3311374512
140	0.3310532837
141	0.3309486389
142	0.3308892212
143	0.3307895813
144	0.3306867371
145	0.330612793
146	0.3304573669
147	0.3303965149
148	0.3302440796
149	0.3301627808
150	0.3300726624
151	0.33
152	0.3298956299
153	0.3295568848
154	0.3295137329
155	0.329461792
156	0.3293362427
157	0.3289592285
158	0.328822937
159	0.3287249756
160	0.3286827698
161	0.3286477966
162	0.3285147095
163	0.3284610596
164	0.3281400757
165	0.3280616455
166	0.3279833984
167	0.3278986206
168	0.3277785034
169	0.3276753845
170	0.32740448
171	0.3272964478
172	0.3272011719
173	0.3269831543
174	0.3269262085
175	0.3268557739
176	0.3266368408
177	0.3265359802
178	0.3263450623
179	0.3261907654
180	0.326138916
181	0.3260536194
182	0.3260067444
183	0.3259265137
184	0.3258756714
185	0.3257015076
186	0.325616333
187	0.3255379028
188	0.3254511719
189	0.325375061
190	0.3252937317
191	0.3251924438
192	0.3251602173
193	0.3250237427
194	0.3249572754
195	0.3248818359
196	0.3247818298
197	0.3245424805
198	0.3244995117
199	0.3243714905
